timestamp,x,y,z
5404,-0.488,0.427,-0.122
6408,-7.446,25.391,15.32
7412,-0.061,0.244,0.0
8415,-0.122,0.183,0.061
9419,-17.578,63.232,21.24
10422,0.916,1.526,0.183
11425,-0.061,0.122,0.122
12428,-0.061,0.183,0.061
13433,0.0,0.244,0.061
14437,-0.122,0.061,0.0
15441,-0.183,0.244,-0.061
16444,-0.061,0.122,0.061
17448,-0.061,0.183,0.0
18451,-0.122,0.183,-0.061
19454,-0.061,0.183,0.0
20458,-0.061,0.244,0.0
21462,-0.122,0.183,0.0
22465,-0.061,0.183,0.0
23469,-0.061,0.244,-0.061
24472,-0.122,0.122,-0.061
25475,0.122,0.305,0.0
26478,1.892,-0.427,17.212
27481,-4.089,21.79,31.433
28485,-2.075,48.279,46.936
29488,-0.61,-1.587,-0.061
30493,-0.549,-2.747,49.927
31496,0.0,-13.916,-13.367
32498,-1.221,-2.686,-0.61
33501,-0.061,0.122,0.0
34505,-2.075,-4.211,-0.305
35509,-0.061,0.549,-0.061
36512,0.183,-0.244,-0.061
37514,-0.061,0.244,0.061
38517,-0.061,0.305,-0.061
39521,-0.305,0.183,-0.061
40524,-0.305,-4.7,0.488
41527,0.122,0.183,0.0
42530,-0.427,-0.671,-1.038
43534,-0.244,0.061,0.0
44536,0.793,0.122,-0.183
45539,-0.244,0.488,0.061
46542,1.282,-2.319,3.601
47545,0.977,-0.427,0.061
48548,-0.916,0.854,0.61
49551,-0.244,0.916,0.0
50553,-0.183,0.549,-0.061
51556,-1.16,0.977,-0.549
52560,0.977,2.258,0.549
53562,0.122,0.122,-0.061
54565,50.354,-66.345,42.358
55568,-11.536,5.92,34.363
56571,-0.061,0.122,-0.61
57576,-0.366,0.122,0.0
58578,0.0,0.244,0.0
59581,-4.395,-2.075,-7.324
60584,0.0,0.122,0.0
61587,0.122,0.183,0.122
62589,0.0,0.183,0.0
63593,-0.061,0.183,0.0
64596,0.183,0.183,0.0
65600,0.061,0.183,0.0
66602,-0.183,0.183,-0.061
67607,-0.366,0.244,-0.122
68610,0.793,0.061,0.183
69613,-0.061,0.305,0.0
70617,-0.244,0.244,-0.061
71620,-0.183,0.183,0.0
72625,-0.061,0.183,0.0
73629,0.0,0.183,-0.061
74633,0.0,0.183,0.0
75636,14.587,-1.892,3.113
76639,-0.671,-0.244,-1.099
77643,1.038,0.061,1.892
78646,-0.122,0.183,0.0
79649,0.0,0.122,-0.061
80652,-0.061,0.183,-0.061
81656,-0.061,0.122,-0.061
82660,-0.122,0.244,0.0
83664,0.0,0.244,0.0
84667,-0.366,0.732,-0.061
85670,0.122,0.122,0.0
86674,-0.061,0.244,-0.061
87677,-0.061,0.183,0.0
88680,-0.122,0.183,0.0
89684,-0.061,0.244,-0.061
90688,-0.183,0.305,-0.122
91691,0.061,0.122,0.0
92695,0.0,0.183,0.0
93699,-0.244,0.122,-0.061
94702,-0.122,0.183,-0.061
95705,-0.061,0.244,-0.061
96708,-0.122,0.183,-0.061
97711,-0.061,0.183,-0.061
98714,0.0,0.183,0.0
99717,0.061,0.183,-0.061
100720,-0.061,0.183,-0.061
101725,-0.122,0.183,-0.061
102728,-0.061,0.183,0.0
103732,-0.061,0.183,-0.061
104735,-0.061,0.183,-0.061
105739,-0.183,0.183,-0.061
106742,-0.122,0.183,-0.061
107745,-0.061,0.183,0.0
108749,-0.061,0.183,-0.061
109753,0.183,0.305,0.0
110756,-0.061,0.183,-0.061
111760,0.0,0.183,0.0
112763,0.061,0.183,0.0
113766,0.0,0.183,0.0
114770,0.0,0.183,-0.061
115773,-0.061,0.183,-0.061
116776,-25.757,11.963,-28.992
117779,-0.244,0.244,0.0
118782,-0.61,0.732,-0.183
119785,-0.061,0.0,0.0
120787,-0.061,0.183,0.0
121792,-4.883,-10.803,-7.751
122796,0.854,-0.427,-0.183
123799,3.479,-3.418,0.549
124802,0.671,0.977,-1.099
125805,0.977,4.883,1.099
126809,-0.366,0.244,-0.061
127812,-0.061,0.244,-0.061
128816,-0.061,0.183,0.0
129819,-2.625,-30.701,-37.842
130822,-0.183,-0.244,0.0
131825,-0.244,0.366,0.0
132828,-0.183,0.244,-0.061
133832,-0.061,0.183,0.0
134834,-0.122,0.244,-0.061
135837,-0.183,0.183,-0.061
136841,-0.122,0.366,0.0
137845,0.0,-1.221,0.061
138847,0.183,0.305,-0.183
139850,-0.122,0.305,-0.061
140854,-1.343,0.305,0.183
141857,-0.061,0.244,0.0
682870,-0.244,0.183,-0.061
683874,-0.366,0.244,-0.061
684878,-0.061,0.183,0.0
685882,0.305,0.122,0.0
686886,-0.061,0.244,-0.061
687890,-0.061,0.183,0.0
688894,-0.122,0.244,0.0
689897,-0.061,0.183,-0.061
690901,-0.061,0.427,0.0
691905,0.061,0.122,0.061
692908,0.061,0.305,0.0
693912,-0.061,0.366,-0.061
694916,0.0,0.183,-0.183
695921,0.305,0.061,0.0
696923,0.122,-0.061,0.0
697928,-0.366,0.0,-0.244
698933,-0.61,0.122,0.0
699935,-3.601,3.357,-0.061
700939,0.183,1.038,0.061
701944,-0.488,0.183,-0.122
702948,-0.183,0.061,-0.061
703952,-0.061,-15.625,0.0
704955,-0.549,0.427,0.0
705958,0.122,0.183,0.305
706961,-0.305,0.305,-0.183
707964,-0.244,0.244,-0.061
708967,0.244,0.122,0.061
709970,-0.183,0.244,0.0
710974,-0.305,0.122,0.0
711978,-0.061,0.244,-0.061
712981,2.075,-0.305,-0.183
713985,0.122,0.244,0.0
714988,-0.305,0.0,-0.061
715991,-0.122,0.244,-0.061
716995,0.61,0.122,-0.183
717999,0.0,0.061,0.0
719002,-0.183,0.183,-0.122
720008,-0.061,0.183,-0.061
721012,0.122,0.061,0.122
722014,0.0,0.061,0.0
723018,-27.039,-30.884,-16.968
724021,3.357,-3.113,-65.369
725025,-0.183,0.244,-0.061
726028,0.0,0.183,0.0
727030,-0.244,0.366,0.0
728033,-0.61,0.671,-0.061
729037,-0.183,0.305,-0.061
730040,0.549,0.122,0.183
731044,-0.061,0.183,-0.061
732047,-0.122,0.427,0.0
733050,0.122,0.183,0.061
734053,-0.183,0.305,-0.061
735056,0.0,0.061,-0.061
736059,0.0,0.183,0.0
737062,-0.122,0.244,-0.061
738065,-0.061,0.122,-0.061
739068,0.061,0.061,-0.061
740070,-0.244,0.366,-0.061
741073,-0.061,0.122,0.0
742075,0.244,0.0,0.0
743078,0.061,0.122,0.0
744081,0.183,0.244,0.0
745085,0.488,-0.061,0.0
746089,-0.061,0.305,-0.061
747091,-4.639,-40.588,-39.673
748094,17.944,24.475,37.17
749098,-5.554,-12.085,0.061
750102,1.709,4.395,14.404
751105,-1.709,22.522,-1.892
752108,1.709,-2.136,1.038
753112,-13.245,-7.935,-2.136
754115,-17.151,-1.404,2.014
755119,-16.785,-39.185,-39.368
756122,-0.427,-7.08,0.549
757125,57.129,79.59,59.082
758128,0.244,0.122,0.061
759132,-0.122,0.793,-0.061
760136,-0.061,0.122,0.0
761140,0.183,0.0,0.0
762144,0.0,0.122,0.0
763148,0.122,0.122,0.061
764151,0.0,0.244,0.0
765154,-0.183,0.183,-0.061
766157,0.793,0.366,0.061
767159,-0.061,0.061,-0.061
768163,-0.793,0.244,-0.244
769166,0.0,0.0,0.061
770169,-0.244,0.244,-0.061
771172,0.0,0.244,-0.061
772176,0.0,0.488,-0.061
773179,0.0,0.122,0.0
774183,-0.61,0.244,-0.183
775188,0.061,0.244,0.0
776191,0.366,0.183,0.061
777195,1.648,0.488,0.427
778198,0.183,0.183,0.061
779201,-0.061,0.671,0.0
780204,0.0,0.183,0.0
781206,0.061,0.122,0.0
782210,-5.066,-8.606,1.16
783213,15.93,-15.686,-9.094
784216,41.931,-3.479,-14.587
785219,-24.963,2.991,-3.113
786221,-43.03,-31.86,-9.766
787225,-0.061,0.366,-1.404
788229,-0.183,0.488,-0.427
789232,-0.427,0.0,-0.427
790235,0.305,0.183,-0.061
791238,-0.183,0.061,-0.122
792241,-0.183,0.427,0.0
793244,0.244,0.549,0.122
794247,0.366,0.183,-0.061
795250,14.709,0.488,-0.122
796254,0.0,0.183,-0.061
797258,-0.061,0.183,0.0
798260,-0.061,0.244,0.0
799263,-0.122,0.305,-0.061
800266,-0.122,0.122,-0.061
801268,0.0,0.122,0.0
802271,0.0,0.305,0.0
803273,-0.122,0.244,0.0
804277,-0.061,-0.061,0.0
805279,15.442,-0.305,0.061
806282,0.0,0.183,0.0
807285,-0.061,0.183,-0.061
808288,-0.122,0.0,0.0
809290,0.122,-0.061,0.061
810293,0.122,0.122,0.0
811295,0.549,-0.122,0.0
812298,-0.122,0.183,-0.061
813300,-0.305,0.244,-0.183
814303,-0.061,0.183,-0.061
815306,-0.122,0.183,0.061
816308,-0.183,0.122,-0.061
817311,0.183,0.061,0.061
818314,-0.122,0.122,0.0
819317,-0.061,-0.122,-0.122
820320,-0.122,0.305,0.0
821323,0.0,0.122,0.0
821323,0.0,0.122,0.0
822327,-0.061,0.61,-0.183
823330,-0.305,0.122,-0.122
824333,0.061,0.183,0.0
825336,-0.061,0.183,0.0
826341,-0.061,0.244,0.0
827345,-0.061,0.183,-0.061
828348,0.061,0.0,0.0
829351,-0.122,0.0,-0.122
830354,-0.061,0.183,0.0
831357,-0.183,0.183,-0.061
832360,-0.244,0.061,-0.122
833364,-0.061,0.183,0.0
834367,-0.061,0.244,0.0
835371,-0.061,0.122,0.0
836375,0.916,-0.671,-0.122
837378,0.0,15.564,-0.061
838381,-0.183,0.488,-0.244
839384,-0.183,0.183,-0.061
840387,0.305,0.366,-0.061
841389,-0.244,0.366,0.061
842392,0.061,0.305,0.061
843395,-0.183,0.244,-0.122
844399,0.061,0.0,0.061
845402,-0.122,0.122,0.0
846405,-0.122,0.061,-0.122
847408,-0.183,0.244,0.0
848410,-0.061,0.122,0.0
849414,-0.122,0.183,-0.061
850418,-0.061,0.183,0.0
851421,0.0,0.183,0.0
852424,-0.122,0.183,0.0
853428,-0.061,0.183,-0.061
854431,-0.122,0.244,0.0
855434,-0.183,0.183,-0.061
856437,-0.305,0.183,-0.061
857440,-0.061,0.427,0.0
858443,-0.061,0.244,0.0
859447,-0.122,0.305,0.0
860450,0.183,0.061,0.061
861453,-0.061,0.183,0.0
862456,0.061,0.366,-0.122
863459,-0.061,0.244,-0.061
864462,0.061,0.366,0.0
865465,-0.122,0.122,0.0
866467,0.0,0.183,-0.061
867470,-0.183,0.183,0.0
868473,0.061,0.061,0.0
869476,-0.061,-0.061,0.0
870479,0.122,0.122,0.0
871481,-0.183,0.061,-0.061
872486,0.061,-0.305,0.061
873489,-0.061,0.183,0.0
874493,-0.061,0.183,-0.061
875497,0.244,-0.244,0.122
876501,2.075,-0.732,0.671
877505,-0.183,0.366,-0.061
878508,-0.122,0.244,-0.061
879511,0.0,0.427,-0.061
880515,-1.038,-3.296,-0.183
881518,-0.244,0.122,-0.061
882521,-0.122,-0.061,-0.061
883525,-0.183,0.061,-0.122
884529,-0.122,0.183,0.0
885532,7.507,1.648,-4.517
886535,-0.061,-1.892,-1.831
887538,-1.892,2.258,-3.479
